Name,Description,Description2,ADDRESS,LAT,LONG,Description3,Description4,Description5,Description6,PIC_URL,THUMB_URL
Portrait,Herman Ramirez,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Charcoal on Paper,20.5 x 18,2008,https://www.ci.richmond.ca.us/PhotoGallery/4//055-Herman-CSB-2.4.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//055-Herman-CSB-2.4.jpg
Female Portrait,James Woodward,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Ink and Watercolor on Paper,"10 x 8""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//059JamesWoodward.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//059JamesWoodward.jpg
Portals #1,Kamal Al Mansour,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Mixed Media Assemblage,"12.5 x 18.25""",2005,https://www.ci.richmond.ca.us/PhotoGallery/4//050_RCC-Monsour-1-CSB-B.3.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//050_RCC-Monsour-1-CSB-B.3.jpg
Portals #4,Kamal Al Mansour,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Mixed Media Assemblage,"12.5 x 18.25""",2005,https://www.ci.richmond.ca.us/PhotoGallery/4//049_RCC-Monsour-2-CSB-B.4.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//049_RCC-Monsour-2-CSB-B.4.jpg
Precipice,Tracy West,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Acrylic and Fresco on Canvas,"40 x 30 x 2.5""",2007,https://www.ci.richmond.ca.us/PhotoGallery/4//040_Tracy-West_Precipice.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//040_Tracy-West_Precipice.jpg
Landscape #07-08,David Ivan Clark,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Oil On Stainless Steel,"25.25 x 60 x 2""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//015_David-Ivan-Clark_04-07_08-25x60.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//015_David-Ivan-Clark_04-07_08-25x60.jpg
A New Journey,Chunming Yu,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Oil on Canvas,48 x 36,2007,https://www.ci.richmond.ca.us/PhotoGallery/4//051_RCC-Yu-CSB-B.1.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//051_RCC-Yu-CSB-B.1.jpg
Golden Age of Jazz,Leroy Parke,440 Civic Center Plaza Third Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Acrylic on Panel,"50 x 38.75 x 1.5""",2007,https://www.ci.richmond.ca.us/PhotoGallery/4//032_RCC-Parker-CSB-3.2.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//032_RCC-Parker-CSB-3.2.jpg
Jimmy McCracklin,James E Gayles Jr,440 Civic Center Plaza Third Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Watercolor on Paper,"30 x 22.5""",2005,https://www.ci.richmond.ca.us/PhotoGallery/4//018_James-Gayles_001.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//018_James-Gayles_001.jpg
Sky Sequence: Under the Wings,Kazuko Watanabe,440 Civic Center Plaza Third Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Multiple Color Etching with Photo Polymer Gravure,"36 x 30""",2002,https://www.ci.richmond.ca.us/PhotoGallery/4//038_Kazuko-Watanabe.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//038_Kazuko-Watanabe.jpg
Landscape #34-07,David Ivan Clark,440 Civic Center Plaza Third Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Oil on Stainless Steel ,"24 x 24 x 2""",2007,,
